Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-smart.who.int.hiv.json	203544	-	0	0	0	0	0	0	27	104	0	0	0	0	0	0	0	3	0	0	511	1256	0	0	0	0	25	0	6
fsh-generated/resources/ActivityDefinition-HIVB9DTScheduleFollowUp.json	1518	5	0	0	1	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	24	22	0	0	0	0	0	0	0
fsh-generated/resources/ActivityDefinition-HIVGuidanceCommunicationRequestActivity.json	1402	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	18	20	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Client.json	709	4	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	15	35	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-CommunityHealthWorker.json	976	3	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	15	34	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DataEntryClerk.json	754	3	0	0	1	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	15	39	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-DistrictHealthInformationOfficer.json	772	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	15	35	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-KeyPopulations.json	1023	4	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	16	36	0	0	0	0	0	0	1
fsh-generated/resources/ActorDefinition-LabTechnician.json	747	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	15	37	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-Nurse.json	708	3	0	0	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	15	35	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-Pharmacist.json	688	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	14	33	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-Physician.json	812	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	15	36	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SpecialPopulationClient.json	771	3	0	0	1	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	15	35	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-SpecialistMedicalDoctor.json	933	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	15	32	0	0	0	0	0	0	0
fsh-generated/resources/ActorDefinition-TrainedLayProvider.json	708	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	15	32	0	0	0	0	1	0	0
fsh-generated/resources/ActorDefinition-TrainedNonPhysicianClinician.json	1011	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	15	32	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-HIVConcepts.json	361405	43	0	0	2	0	1	0	20	732	0	0	2	0	0	0	0	2	0	0	1013	4712	0	0	0	0	56	0	4
fsh-generated/resources/Condition-ExampleElevatedHivRiskCondition.json	639	6	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	13	33	0	0	0	0	0	0	0
fsh-generated/resources/Condition-ExampleHivInvasiveCervicalCancerDiagnosis.json	859	5	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	14	27	0	0	0	0	0	0	0
fsh-generated/resources/Condition-ExampleHivPositiveCondition.json	814	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	26	0	0	0	0	0	0	0
fsh-generated/resources/ExampleScenario-HIV.A.REGISTRATION.json	4388	5	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	23	404	0	0	0	0	1	0	0
fsh-generated/resources/ExampleScenario-HIV.B.HIVtesting.json	8377	6	0	0	0	0	0	0	1	21	0	0	0	0	0	0	0	0	0	0	33	120	0	0	0	0	1	0	1
fsh-generated/resources/ExampleScenario-HIV.PrEP.Visit.Scenario.json	6300	6	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	27	70	0	0	0	0	0	0	0
fsh-generated/resources/Library-HIVB2DTLogic.json	1013	5	0	0	0	0	0	0	1	1542	0	0	0	0	0	0	0	0	0	0	325	35	0	0	0	0	16	0	0
fsh-generated/resources/Library-HIVB7DTLogic.json	1048	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	101	19	0	0	0	0	4	0	0
fsh-generated/resources/Library-HIVB9DTLogic.json	1013	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	48	14	0	0	0	0	0	0	0
fsh-generated/resources/Library-HIVC23DTLogic.json	1019	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	320	29	0	0	0	0	15	0	0
